Name,Ingredients,Procedure,Nutrition_Facts
sichuan-boiled-beef,"['1 lb beef flank steak', '1 tablespoon Shaoxing wine', '2 teaspoons soy sauce', '1/2 teaspoon salt', '1/4 teaspoon white pepper', '1 tablespoon cornstarch', '1/3 cup + 2 tablespoons canola oil , divided (or other neutral oil)', '1/2 cup Chinese dried chili peppers , halved (seeds removed for a less spicy dish)', '1 tablespoon Sichuan peppercorns', '6 cloves garlic , grated', '1 scallion , sliced', '4 cloves garlic , smashed', '1 "" ginger , sliced', '3 scallions , cut into 1"" (2.5 cm) pieces', '3 tablespoons Doubanjiang', '1 tablespoon Shaoxing wine (or dry sherry)', '2 cups chicken stock', '1 tablespoon sugar', '1 teaspoon soy sauce', '1/2 teaspoon chicken bouillon (or to taste) (Optional)', '6 to 8 heads Chinese broccoli , sliced to large bite-size pieces (or bok choy, yu choy, or other vegetables you prefer)', '1/2 teaspoon cornstarch', '1 teaspoon water']","['Cut the beef flank steak along the grain into two pieces. Then slice against the grain by tilting your knife to 45° and slicing the beef into 1/4″ (1/2 cm) thick pieces. Transfer to a medium-sized bowl.', 'Add the marinade ingredients except the cornstarch. Gently use your hand to mix the beef until the ingredients are absorbed. Then add the cornstarch and mix again until the beef is evenly coated. Set aside to marinate for 15 minutes while preparing the rest of the ingredients.', 'Heat a medium-sized wok over medium heat with 2 tablespoons of oil until hot. Add the dried chilis and Sichuan peppercorns, turn to medium-low heat. Cook and stir until fragrant and darker, about 2 minutes. Transfer the spices to a plate to cool slightly, reserving the oil in the pan. Turn off the heat.', 'Add the fried spices into a small food processor or blender. Pulse until coarsely chopped. Set aside.', 'Reheat the same wok over medium heat until hot. Add the garlic, ginger, and scallions. Cook and stir until fragrant, 1 minute or so.', 'Add the doubanjiang. Stir for another 2 to 3 minutes. Turn to low heat if the paste starts to stick to the pan too much. You can also pour a bit of water into the pan to release the paste.', 'Pour in the Shaoxing wine and use a spatula to lift as much of the brown bits from the bottom as possible. Add the chicken stock and keep scraping the bottom.', 'Add the sugar and soy sauce. Cook over medium-high heat until brought to a boil. Reduce to a simmer and cook for 2 to 3 minutes. Use a mesh strainer to remove the solid spices and discard them. Taste the broth. It should be slightly salty by itself. Add chicken bouillon to adjust flavor if needed.', 'Prepare a large heat-proof bowl, enough to hold most of the broth, the vegetables, and the beef. (*Footnote 1)', 'Add the Chinese broccoli to the broth and blanch until cooked to your desired texture, about 2 minutes. Remove it from the broth and place it on the bottom of the big bowl.', 'Bring the broth back to a simmer. Cook the beef slices in two batches if needed so they don’t crowd the pan. Add the beef and immediately use a pair of chopsticks or tongs to stir and separate the pieces. Poach for a minute, or until the beef is just cooked through. Transfer the beef into the big serving bowl, on top of the Chinese broccoli.', 'Bring the broth to a boil again. Stir to fully dissolve the cornstarch slurry and pour it into the broth, stirring constantly. Cook for 1 minute, until the broth is slightly thickened. Then pour the broth into the serving bowl, until the beef slices are mostly covered. Set aside the remaining broth if there is any left. (*Footnote 1)', 'Spread the prepared topping spices – the fried and ground up chili peppers and Sichuan peppercorn, over the broth. Spread out the sliced scallions and the grated garlic.', 'Heat the remaining 1/4 cup oil over medium heat in a small pot or saucepan until just smoking. Carefully drizzle the spices over the serving dish. The oil will spatter a bit but shouldn’t cause a mess. Serve hot as a main dish.']","['Serving: 1serving', 'Calories: 357kcal', 'Carbohydrates: 13g', 'Protein: 27.4g', 'Fat: 21.5g', 'Saturated Fat: 3.1g', 'Cholesterol: 80mg', 'Sodium: 1047mg', 'Potassium: 377mg', 'Fiber: 0.2g', 'Sugar: 7.6g', 'Calcium: 33mg', 'Iron: 16mg']"
pickled-daikon-with-carrot,"['1 daikon radish (about 1.3 lbs / 600 g)', '2 small carrots (about 10 oz / 300 g)', '3/4 cup rice vinegar (*Footnote 1)', '3/4 cup distilled vinegar', '1/2 cup sugar', '3 teaspoon salt']","['Peel the daikon and carrots. Cut the daikon into 1/3” (1 cm) thick rounds, then cut each round into four equal fan-shaped pieces. Cut the carrot into 1/4” (6 mm) rounds, then slice each round into half moon pieces. Place the daikon and carrots in a colander, run under cold water until the water runs clear. This removes the daikon’s funky smell, and prevents the carrots from tinting the daikon orange. Drain well and move to a heat-proof bowl or container you plan to store the pickles.', 'Add the rice vinegar and distilled vinegar into a small saucepan and bring to a boil. Once vigorously boiling, add the sugar and salt, stirring with a whisk until fully dissolved.', 'Pour the boiling hot pickling liquid over the daikon and carrots. (*Footnote 2) Marinate for at least 1 hour before eating, or overnight for a better flavor. Once the brine cools off completely, store the pickles in an airtight container in the refrigerator for up to a week.']","['Serving: 1serving', 'Calories: 28kcal', 'Carbohydrates: 5g', 'Protein: 0.9g', 'Sodium: 113mg', 'Potassium: 147mg', 'Fiber: 1.1g', 'Sugar: 3.5g', 'Calcium: 5mg']"
shrimp-lo-mein,"['8 oz fresh lo mein noodles (or 6 oz / 170 g dried noodles)', '1/2 lb shrimp , peeled and deveined', '1/2 tablespoon Shaoxing wine', '1 teaspoon cornstarch', '1/4 teaspoon salt', '1/4 cup chicken broth', '2 tablespoons oyster sauce', '2 tablespoons Shaoxing wine (or dry sherry)', '1 tablespoon dark soy sauce (or soy sauce) (*Footnote 1)', '1 teaspoon sesame oil', '2 teaspoons sugar', '1/4 teaspoon salt', '3 tablespoons peanut oil (or vegetable oil)', '1 tablespoon ginger , minced', '2 cloves garlic , minced', '1 small carrot , julienned (yields about 1/2 cup once cut)', '1/4 cabbage , thinly sliced (or 4 cups coleslaw mix)', '4 green onions , cut into 2” (5 cm) long pieces, white and green parts separated', '2 cups  bean sprouts (4 oz / 100 g)']","['If using dried noodles, boil the noodles according to package instructions minus 1 minute, until al dente. If using fresh lo mein noodles, boil for 1 minute total, until al dente. Rinse with tap water, drain, and set aside.', 'Combine the shrimp and all the marinade ingredients in a medium-sized bowl. Mix well and let marinate for 10 minutes.', 'Whisk all the sauce ingredients together in a medium-sized bowl.', 'Heat 1 tablespoon of oil in a large nonstick skillet over medium-high heat until hot. Spread the shrimp in the pan. Cook for 30 to 45 seconds without touching, until the bottom turns slightly golden. Flip to cook the other side for 30 to 45 seconds, stirring occasionally, until the shrimp is just cooked through. Transfer the shrimp to a plate.', 'Pour in the remaining 2 tablespoons of oil and the ginger, garlic and green onion whites. Add carrot and cabbage. Cook and stir until the veggies just start to turn soft, 1 minute or so.', 'Add the noodles and pour in the sauce. Toss a few times to mix everything.', 'Add the bean sprouts and green onion greens. Toss to mix everything together well, until the sauce is absorbed, 1 to 2 minutes. Return the cooked shrimp to the pan and toss again to mix well. Transfer everything to serving plates and serve hot as a main dish.']","['Serving: 1serving', 'Calories: 425kcal', 'Carbohydrates: 56.4g', 'Protein: 22.2g', 'Fat: 14.1g', 'Saturated Fat: 2.2g', 'Cholesterol: 90mg', 'Sodium: 1206mg', 'Potassium: 634mg', 'Fiber: 6.4g', 'Sugar: 13.9g', 'Calcium: 108mg', 'Iron: 3mg']"
wood-ear-mushroom-salad,"['0.5 oz dried wood ear mushrooms (yield 2 cups once rehydrated)', '2 cloves garlic , grated', '1 fresno pepper , sliced (or other chili pepper of your choice) (Optional)', '1 tablespoon light soy sauce', '1 tablespoon Chinkiang vinegar', '1 teaspoon sugar', '1/8 teaspoon salt', '1 tablespoon peanut oil (or vegetable oil)', '1 teaspoon Sichuan peppercorn', '1/4 cup cilantro , coarsely chopped, for garnish (Optional)']","['Combine wood ear mushrooms with 3 cups of warm water in a large bowl. Rehydrate until they soften, 20 minutes or so. Gently rinse the mushrooms with tap water. Remove the tough ends from the mushrooms and tear them into small bite-size pieces.', 'Bring a pot of water to a boil. Add wood ear mushrooms and cook for 3 to 4 minutes, until turning tender. Drain, rinse the mushrooms with cold water, drain again, and place into a medium bowl. Add the chili pepper (if using).', 'Combine garlic, light soy sauce, black rice vinegar, sugar, and salt in a small bowl. Stir to mix well.', 'Heat peanut oil in a small skillet until warm. Add Sichuan peppercorn. Cook until you can smell a strong fragrance, 2 to 3 minutes. Turn off the heat. Remove and discard all the peppercorns with a slotted spoon. Immediately and carefully pour the hot oil into the small bowl with the soy sauce based mixture. Mix well.', 'Combine the sauce and wood ear mushrooms in a bowl, toss a few times.', 'Garnish with cilantro and serve as a cold appetizer.']","['Serving: 1serving', 'Calories: 59kcal', 'Carbohydrates: 5g', 'Protein: 2.3g', 'Fat: 3.7g', 'Saturated Fat: 0.6g', 'Sodium: 302mg', 'Potassium: 227mg', 'Fiber: 1.3g', 'Sugar: 2.9g', 'Calcium: 6mg', 'Iron: 2mg']"
hong-kong-french-toast,"['2 to 3 salted duck egg yolks (*Footnote 1)', '1/2 tablespoon milk powder', '2 tablespoons cornstarch', '4 tablespoons softened salted butter (if using unsalted, add 1/4 tsp salt)', '1/2 cup powdered confectioners sugar', '1 teaspoon vanilla extract', '1/4 teaspoon turmeric for color (optional)', '5 to 6 1” thick slices milk bread (or 8–12 standard slices of bread, with crusts removed, ideally slightly stale) (*Footnote 3)', '2 cups whole milk', '6 eggs', '1/4 teaspoon salt', '1 teaspoon vanilla extract', 'Butter , for cooking', '1/4 cup sweetened condensed milk , for sealing toasts and drizzling']","['Add the salted duck egg yolks into a small bowl, mash up with a fork until smooth (*Footnote 1), and add the powdered milk and cornstarch. Mash to combine.', 'Then add the butter, powdered sugar, vanilla, salt (if using), and turmeric (if using). Continue mixing and mashing until smooth.', 'Make a batter: Whisk the eggs thoroughly in a large bowl. Add the milk, salt, and vanilla extract. Whisk to combine.', 'To assemble the toasts: Cut the thick slices of bread almost all the way in half horizontally, leaving one edge attached (*Footnote 2). Press down on the inside of the bottom piece of bread, creating a pocket in the center. Spread a thin layer of sweetened condensed milk around edges, acting as a glue to seal toast. Place 2 to 3 tablespoons of the egg custard filling in the center of the bread. Place the top piece of the bread over it. Press the edges gently to seal. Set aside and assemble the remaining pieces in the same way.', 'Cook the toast: Cook one toast at a time. Heat 1 tablespoon of butter in a nonstick pan over medium heat until hot and bubbling. When the pan is hot and almost ready to use, dip an assembled toast in the batter mixture, submerging and soaking both sides for about 20 seconds each. Remove from batter, allowing excess batter to drip off, and quickly add it to the hot pan. Cook about 2 minutes per side, adjusting heat as needed and flipping carefully. Once done, transfer to a serving plate. Cook the rest of the toasts using the same method, adding more butter between batches as needed.', 'Serve hot immediately with extra butter and sweetened condensed milk. Add a piece of butter onto the hot toast, if desired. Drizzle condensed milk over the toast before eating.']","['Serving: 1serving', 'Calories: 352kcal', 'Carbohydrates: 38.2g', 'Protein: 11.9g', 'Fat: 16.8g', 'Saturated Fat: 8.6g', 'Cholesterol: 225mg', 'Sodium: 489mg', 'Potassium: 208mg', 'Fiber: 0.8g', 'Sugar: 21.7g', 'Calcium: 221mg', 'Iron: 2mg']"
baked-salt-and-pepper-chicken-wings,"['2 lbs chicken wings', '2 1/2 tablespoons soy sauce', '1 tablespoon Shaoxing wine', '3/4 teaspoon salt', '1 teaspoon sugar', '1 teaspoon white pepper', '1 teaspoon garlic powder', '1/2 teaspoon sugar', '1/4 teaspoon salt', '1/4 teaspoon five spice powder', '3 tablespoons cornstarch', '1 tablespoon baking powder', '2 tablespoons vegetable oil', '4 shallots , cut in half and sliced into 1/4” (6 mm) thick slices', '3 fresno chilis , sliced (or jalapenos)', '3 scallions , sliced, white and green parts separated', '4 cloves garlic , minced']","['Marinate the Chicken: Preheat the oven to 400°F (200°C). Add the chicken to a large bowl and add the soy sauce, Shaoxing wine, salt and sugar. Toss to coat well. Marinate for 20 minutes while preparing the other ingredients.', 'Mix the spices: Add the white pepper, garlic powder, sugar, salt and five spice powder into a small bowl. Mix well.', 'Bake the Chicken: After marinating, toss the chicken with the cornstarch and baking powder very thoroughly for even coating. Spread the chicken wings onto an oven tray lined with a rack. Bake the chicken wings for 35 minutes, or until golden brown and cooked through.', 'Cooking the Vegetables: Once the chicken wings are cooked, place the tray on the kitchen counter to cool off slightly. Add the vegetable oil into a wok or large skillet and heat over medium-high heat until hot. Add the shallot, chilis, scallion whites, and garlic. Stir and cook until softened, 1 minute or so. Add the baked wings, scallion greens and sprinkle the spice mix over.', ' Serve: Toss everything together until evenly coated. Serve hot as an appetizer.']","['Serving: 1serving', 'Calories: 258kcal', 'Carbohydrates: 6.1g', 'Protein: 19.6g', 'Fat: 17.1g', 'Saturated Fat: 4.5g', 'Cholesterol: 59mg', 'Sodium: 560mg', 'Potassium: 386mg', 'Fiber: 0.5g', 'Sugar: 1g', 'Calcium: 104mg', 'Iron: 1mg']"
sesame-balls,"['1 1/2 cup glutinous rice flour', '3/4 cup  water', '1/2 cup  sugar', '1/2 teaspoon  salt', 'Vegetable oil , for deep frying (about 8 cups)', '12 heaping teaspoons  red bean paste (or lotus seed paste) (*Footnote 1)', '1/3 cup sesame seeds (raw, or toasted and hulled) (*Footnote 2)']","['Weigh 140g of glutinous rice flour in a heatproof bowl, and weigh the other 50g in a separate small bowl.', 'Add the water, sugar and salt to a small saucepan and bring to a simmer. Stir until the sugar is fully dissolved to make a syrup.', 'Slowly add the syrup gradually to the heatproof bowl with the glutinous rice, while mixing with a spatula, until the mixture becomes a smooth paste without any clumps.', 'Gradually add the remaining 50g (1/4 cup) glutinous rice flour in three parts, stirring until a cohesive dough is formed. If the dough continues sticking to the bowl, add an additional 10g (about 1 tablespoon) of glutinous rice flour. If it becomes crumbly, add 10g (2 teaspoons) of water.', 'Add 1 teaspoon of oil to the dough. Knead it with your hands to incorporate. The dough should become uniform and ductile, and should not stick to the bowl.', 'Once the dough is completed, wrap it in plastic wrap and rest in the fridge for 30 minutes.', 'While the dough rests, weigh out the red bean paste into twelve 16g balls (approximately 1 heaping teaspoon) (*Footnote 3). After weighing, roll each red bean paste portion into a ball by rolling between the palms of your hands. Place the red bean paste balls on a tray, and put it in the freezer (this makes the wrapping much easier and mess-free).', 'Once the dough has finished resting, transfer it to a clean working surface lightly dusted with glutinous rice flour. Roll the dough into a uniform tube. Cut the dough into 12 equal pieces that weigh approximately 32g each.', 'Roll each dough section into a ball with the palms of your hands, and cover with a moistened towel to prevent it from drying out.', 'To form the sesame balls, gently flatten a dough ball, forming a dimple in the middle. Place a chilled Red Bean Paste ball inside the dimple. Gently hold the dough ball in your dominant hand, delicately tuck the Red Bean Paste into the dough, while cupping the edge of the dough with your other hand. Continue tucking and cupping the edge of the dough, turning the dough section as you go, until the dough covers the chilled red bean paste ball. Press the edges of the dough together to completely seal the ball (*Footnote 4). Then roll the ball gently in your palms to round it out. Repeat this process with the remaining dough balls. Cover the formed balls with a wet towel to prevent them from drying out.', 'Place the sesame seeds in a small bowl. Wet both of your hands. Roll each ball to moisten the exterior, then place it into the bowl with sesame seeds. Gently shake the bowl in a circular motion to coat the ball evenly with sesame seeds. Place the sesame ball onto a tray. Repeat with the rest of the balls.', 'Prepare a sheet pan lined with a wire rack. Heat the oil to 300°F (150°C) in a medium-sized pot, and place half the sesame balls into the hot oil. To prevent the bottoms of the sesame balls from sticking to the pot and burning, gently stir them with a ladle or slotted spoon.', 'Continue frying the balls for 15 minutes, while maintaining the oil temperature at 275°F (135°C) to 290°F (143°C). If the oil exceeds 300°F (150°C), turn off the heat and let the oil temperature come back down.(*Footnote 5)', 'The sesame balls should begin to float to the top and puff up after the first few minutes. Stir them occasionally to ensure that the balls become evenly crispy.', 'After 15 minutes the balls should be a light golden brown, and the sesame seeds should be only lightly toasted. If the sesame balls look pale, slightly raise the temperature to 320-330°F (160-165°C) and continue frying for a few minutes, until the sesame balls turn light golden brown (*Footnote 6). Once the ideal color has been achieved, remove the balls from the oil, and allow them to cool on the sheet pan lined with a wire rack. Repeat the frying process with the second batch of balls.', 'Let the sesame balls cool off for 10 to 15 minutes before serving. Serve them warm or at room temperature.']","['Serving: 1serving', 'Calories: 158kcal', 'Carbohydrates: 22.5g', 'Protein: 2.3g', 'Fat: 6.7g', 'Saturated Fat: 1.2g', 'Sodium: 97mg', 'Potassium: 28mg', 'Fiber: 0.8g', 'Sugar: 8.4g', 'Calcium: 40mg', 'Iron: 1mg']"
longevity-noodles,"['6  dried shiitake mushrooms', '2 tablespoons dark soy sauce', '1 tablespoon oyster sauce *Footnote 1', '1 teaspoon sugar', '12 oz thick Shanghai Noodles (or udon noodles) (*Footnote 2)', '2 tablespoons peanut oil (or vegetable oil)', '1/2 lb oyster mushrooms (or any other mushroom you prefer), cut to bite-size pieces', '2 cloves garlic , minced', '1 teaspoon minced ginger', '1 tablespoon Shaoxing wine', '2 tablespoons mushroom soaking water', '8 stalks  garlic chives , or 4 green onions, cut into 1” (5 cm) pieces']","['Add the shiitake mushrooms into a medium-sized bowl and add enough warm water to cover. Rehydrate for 15 to 20 minutes, until the mushrooms have turned tender throughout. Reserve 2 tablespoons of mushroom soaking water. Drain the mushrooms and thinly slice them.', 'Mix the sauce ingredients in a bowl by stirring together the dark soy sauce, oyster sauce, and sugar.', 'Boil the noodles according to instructions. Then drain, rinse the noodles with cold running tap water to stop cooking and rinse off excess starch. Drain thoroughly and set aside.', 'Heat the oil in a large pan or wok over high heat. Add the oyster mushrooms. Let sear, stirring occasionally, until golden, about 3 minutes.', 'Add the sliced shiitakes. Stir and cook until the shiitakes gain some color, about 1 minute.', 'Add the ginger and garlic into the pan, and toss for 30 seconds. Pour in the Shaoxing wine and the 2 tablespoons mushroom soaking water. Stir to deglaze the pan.', 'Add the boiled noodles and toss a few times. Then drizzle the sauce over the noodles. Stir and cook until the noodles are evenly coated.', 'Add the garlic chives. Stir and cook for an additional 2 minutes, or until the chives are wilted and the sauce is fully absorbed by the yi mein. Transfer the noodles to a serving platter.']","['Serving: 1serving', 'Calories: 381kcal', 'Carbohydrates: 63.4g', 'Protein: 13.7g', 'Fat: 9.2g', 'Saturated Fat: 1.2g', 'Sodium: 1534mg', 'Potassium: 374mg', 'Fiber: 5.3g', 'Sugar: 10.5g', 'Calcium: 16mg', 'Iron: 4mg']"
chinese-roast-duck,"['1 whole duck ,preferably Pekin duck, 3.5-4.5 lbs (1.6-2 kg) (*Footnote 1)', '1 teaspoon sea salt', '1 teaspoon five spice powder', '1 teaspoon sugar', '4 cubes red fermented tofu', '2 tablespoons Shaoxing wine', '1 tablespoon hoisin sauce', '1 teaspoon oyster sauce', '1 star anise', '1 green onion , cut into 4” (6 cm) long pieces', '1 ” ginger , cut into large slices', '8 cups water', '1/2 cup Shaoxing wine', '1/2 cup honey (or brown sugar syrup, or maltose) (*Footnote 2)', '1/2 cup Chinese red vinegar (or cider vinegar, malt vinegar)', 'Plum sauce', 'Ginger scallion sauce', '2 skewers (metal or wooden)', 'Kitchen twine', 'Pump with a fine tip , electric or hand pump (*Footnote 3)']","['To prepare the duck: First remove any giblets and neck pieces from the cavity, and tear off the excess fat found inside the bird. Next, remove the wings by cutting through the joints, but keep the drumettes on the bird. Remove any remaining pieces of feather with kitchen tweezers.', 'Have the skewers ready within reach. Cut off two pieces of 2’ (60 cm)-long kitchen twine, and place them within reach.', 'Seal the front of the duck: Threading a skewer through both layers of skin. Seal the top by tying twine under the skewer. The top must be sealed before adding the marinade.', 'Add the marinade: Combine the wet seasonings in a small bowl and mash the fermented tofu to mix well. Add the dry seasonings into the duck cavity, using your hands to rub the cavity a few times. Add all of the seasonings, ensuring they are snug within the cavity. Carefully pour the wet seasonings into the cavity, making sure that they do not leak out of the duck.', 'Seal the tail of the duck: To close the duck’s cavity, carefully thread a skewer through both layers of the skin, and tie twine under the skewer to seal the bird. It is best to hold the duck at an angle, so the wet seasonings do not escape the cavity.', 'Pump the air under the duck skin: After the duck has been closed, place the duck breast side up. Insert an air pump with a fine tip where the leg meets the breast of the duck. Begin pumping air into the bird, and ensure that the skin is separated from the meat as much as possible. Switch to the opposite side to guarantee all the skin has lifted up from the meat. Then insert the tip from the top of the breast pointing to the leg direction, and pump again to lift the breast skin. Do the same with the opposite side. (*Footnote 4)', 'To blanch the duck: Prepare a tray that can fit into your fridge. Line it with a wire rack. Add all the blanching ingredients into a big wok, dutch oven or a large pot. Bring all the blanching ingredients to a boil over medium-high heat. Turn to medium heat. Carefully lower the duck into the seasoned water. Ladle hot water and pour over the duck until the skin becomes tight and smooth, about 30 seconds.(*Footnote 5) Use a spider strainer to lift the duck and transfer it to the lined tray. If the duck is too heavy, you can also use a spatula to lift the tail end, then use your hands to lift the leg bones (they won’t be too hot).', 'Rest overnight: Once the duck has cooled off slightly, transfer it into the fridge. Allow to marinate and air dry in your fridge for at least 24 hours before roasting. (*Footnote 7)', 'To roast the duck: Preheat your oven to 450°F (232°C). (*Footnote 8) If your oven has convection, roast at 425°F (218°C) with convection instead. This helps the duck cook more evenly. Wipe the duck skin with a paper towel, to remove any oil on the surface.', 'Roast at high temperature: Transfer the duck to the oven. Roast at 450°F (232°C) for a total of 20 minutes. After 10 minutes, rotate the duck around (180 degrees, don’t flip it), and cook for 10 minutes more.', 'Roast at a lower temperature: Lower the temperature to 350°F (176°C) or 325°F (163°C) convection, and rotate the duck again. Roast for another 30 minutes in total if using a 3.5-4 lb (1.6-1.8 kg) duck. Rotate after 15 minutes. If your duck is bigger, add 10 to 15 minutes of cooking time for a 4-5.5 lb (2-2.5 kg) duck, or add 20 to 25 minutes for a 6-6.5 lb (2.7-2.9kg) duck. Rotate every 15 minutes to ensure even cooking. (*Footnote 9)', 'Test the doneness: The duck should have developed a nice golden brown color. Make an incision with a paring knife poking through the thickest part of the breast meat, then press the skin. If the juice runs clear, it is cooked. (*Footnote 10) If the juice is red, keep cooking for another 10 to 15 minutes.', 'Rest the duck: Once the duck is cooked, transfer the duck to your kitchen counter. Let rest for at least 40 minutes.', 'Drain the duck: Once the duck has cooled enough to handle, prepare a big bowl. Untie the tail end and remove the skewer. Use a sharp knife to cut through the skin and remove the part where you sealed the duck, exposing the cavity. Very carefully lift the duck over the bowl to drain the liquid from the cavity, then remove any solid aromatics. The inside of the duck will be very hot and you should handle it very carefully. Then remove the twine and skewer from the neck area.', 'Carve the duck: Carve the duck by cutting through the part where the leg meets the breast. Find the joint of the thigh bone and cut through it to remove the duck leg. Then find the joint of the drumstick and the thigh, cut through it. Then cut down the center of the breast to remove both breasts.', 'Reheat the duck (Optional): If you’re not serving the duck immediately, or you accidentally get the duck skin wet when draining and carving the duck, I highly recommend this step. Heat your oven to 450°F (232°C). Place all the carved duck pieces onto a baking sheet lined with a wire rack, skin side up. Heat in the oven for 5 to 10 minutes, until the skin is crispy again. Slice the breast into 1/2” (6 mm) thick pieces, and place them on a platter with the legs and thighs.', 'How to serve: Serve hot or warm with plum sauce or ginger scallion sauce.']","['Serving: 1serving', 'Calories: 555kcal', 'Carbohydrates: 7.4g', 'Protein: 61.1g', 'Fat: 29.5g', 'Saturated Fat: 10.8g', 'Cholesterol: 230mg', 'Sodium: 437mg', 'Potassium: 670mg', 'Fiber: 0.5g', 'Sugar: 4.5g', 'Calcium: 36mg', 'Iron: 7mg']"
cantonese-wonton-noodle-soup,"['1 pack  wonton wrappers , thawed if using frozen', '1/2 lb ground pork', '4 oz raw peeled and deveined shrimp , chopped into small pieces', '1/2 tablespoon light soy sauce', '1 tablespoon sesame oil', '1 egg white', '2 teaspoons ginger , finely minced', '3/4 teaspoon sea salt', '1/2 teaspoon sugar', '1/4 teaspoon white pepper', '1 pack Hong Kong style wonton noodles', '8 cups homemade chicken stock (Footnote 1)', '2 teaspoons sea salt (or to taste)', '4 green onions white part, sliced', '1 ” ginger , large sliced', 'green onion greens for garnish , sliced', '8 heads choy sum (or baby bok choy)', 'Fried shallots']","['Prepare wonton filling: In a large bowl, combine all the ingredients for the wonton filling. Mix well with a spatula in a circular motion until it forms a sticky paste.', 'Prepare a large tray or a plate. Spray a thin layer of oil or sprinkle some flour onto it to prevent sticking.', 'Wrap the wontons: Work on the wontons one at a time. Make a loose fist with one hand and place a wonton wrapper over your thumb and index finger. Place about a teaspoon of filling in the center of the wrapper. Slowly close your thumb and index finger to gather the wrapper while using a small spoon to push down the filling, until the wrapper comes together. Pinch the wrapper right above the filling so it seals tightly. (See the blog post above for the detailed wrapping steps in the pictures). Place the wrapped wontons onto the prepared tray, a finger’s width apart. (Now you can store the wontons if not used immediately. See footnote 2 for storage tips)', 'Make sure to use a wet paper towel or clean wet kitchen towel to cover the wonton wrappers and the wrapped wontons, to prevent them from drying out.', 'Prepare a big pot for cooking the wontons and noodles. Add about 1 gallon (4 liters) of water and bring it to a boil.', 'Add homemade chicken stock, salt, ginger and green onion (white part) to another medium-sized pot. Heat over medium heat until simmering. Then cover and turn to lowest heat to keep warm while cooking the wontons and noodles. Taste the soup. It should be slightly salty. You can always adjust the seasoning by adding more salt later.', 'Prepare 4 large bowls. Add noodles into the large pot with the boiling water. Cook according to package instructions. Once done, divide noodles into 4 equal portions and transfer into each serving bowl.', 'Cook the wontons in two batches if you plan to use them all. When the big pot of water comes to a boil again, add half of the wontons into the large pot. Stir gently with a spatula constantly to prevent them from sticking to the bottom. Cook until the wontons are floating on top, then continue cooking for another minute. Transfer the wontons into each of the serving bowls.', 'Pour 2 cups of hot chicken soup into each serving bowl.', '(Optional) Blanch the greens in the large pot. Transfer onto the wonton bowls to garnish. Garnish with a spoonful of fried shallot and a pinch of green onions. Serve hot and enjoy!']","['Serving: 1serving', 'Calories: 454kcal', 'Carbohydrates: 52.2g', 'Protein: 41.2g', 'Fat: 7.5g', 'Saturated Fat: 1.6g', 'Cholesterol: 209mg', 'Sodium: 849mg', 'Potassium: 700mg', 'Fiber: 2.1g', 'Sugar: 2.9g', 'Calcium: 77mg', 'Iron: 2mg']"
chinese-chicken-stock,"['1 lb Chicken Feet (Footnote 1)', '3 lbs Chicken bone-in pieces (*Footnote 2)', '2 oz prosciutto (or other cured ham) (optional)', '6 green onions', '1 ” ginger , large sliced', '10 cups cold tap water']","['Use a pair of poultry shears to clip off the nails from the chicken feet. Add the chicken feet into a big pot and add enough cold water to cover. Heat over medium-high heat until brought to a boil. Boil for 10 minutes. Then drain and discard the boiling water. Wash the chicken with running tap water thoroughly, then transfer to a large pot or dutch oven (5 1/2 qt or bigger).', 'In the same pot, add the chicken pieces, prosciutto if using, green onion and ginger. Pour in the water.', 'Heat over medium-high heat until boiling. Boil for 10 to 15 minutes while using a colander to remove the brown foam from the top, until the broth is clear. Turn to medium-low heat and cover. Simmer for 2.5 to 3 hours.', 'Remove the chicken pieces and all the aromatics. If using the stock immediately, use a strainer to remove the chicken fat from the top. Alternatively, you can store the stock in the fridge. Once the soup is chilled, you can easily remove the chicken fat that’s coagulated on top.', 'Now you can enjoy the stock by itself, use it in cooking, or store it for later use. Store it in the fridge for 3 to 4 days, or in the freezer for up to 3 months. (*Footnote 4)']","['Serving: 1serving', 'Calories: 80kcal', 'Protein: 14.5g', 'Fat: 2.1g', 'Saturated Fat: 0.6g', 'Cholesterol: 40mg', 'Sodium: 34mg', 'Potassium: 101mg', 'Calcium: 7mg']"
